İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
Sirius Hotel,"Tekirova, Kemer, Antalya -",Bilinmiyor,10,8.4,4,601.910 TL,Bilgi Yok,Kahvaltı Dahil
BAYOU Villas,"Güzeloba-Muratpaşa, Muratpaşa, Antalya -",Merkeze 0.9 km,Bilinmiyor,Bilinmiyor,5,464.893 TL,Bilgi Yok,Tam Pansiyon
Gloria Serenity Resort,"Belek, Serik, Antalya -",Bilinmiyor,15,9.5,5,452.574 TL,Bilgi Yok,Her Şey Dahil
Azure Villas By Cornelia,"Belek, Serik, Antalya -",Bilinmiyor,8,9.4,5,441.000 TL,Bilgi Yok,Ultra Her Şey Dahil
Upperhouse Hotel,"Kaş, Antalya -",Bilinmiyor,42,7.3,4,396.000 TL,Bilgi Yok,Kahvaltı Dahil
Cullinan Belek,"Kadriye, Serik, Antalya -",Bilinmiyor,419,9.6,5,353.622 TL,Bilgi Yok,Her Şey Dahil
Gloria Golf Resort,"Belek, Serik, Antalya -",Bilinmiyor,29,9.2,5,332.687 TL,Bilgi Yok,Her Şey Dahil
Nirvana Dolce Vita,"Tekirova, Kemer, Antalya -",Bilinmiyor,247,9.1,5,301.970 TL,Bilgi Yok,Her Şey Dahil
Calista Luxury Resort,"Belek, Serik, Antalya -",Bilinmiyor,368,9.3,5,288.899 TL,Bilgi Yok,Her Şey Dahil
Delphin Imperial Hotel,"kundu, Antalya -",Merkeze 0.7 km,430,9.1,5,277.448 TL,Bilgi Yok,Her Şey Dahil
NG Phaselis Bay,"Göynük, Kemer, Antalya -",Bilinmiyor,48,9.9,5,274.387 TL,Bilgi Yok,Her Şey Dahil
IC Hotels Green Palace & Villas,"Aksu, Antalya -",Merkeze 3.5 km,9,9.2,5,252.218 TL,Bilgi Yok,Her Şey Dahil
Delphin Palace,"Kemerağzı, Aksu, Antalya -",Merkeze 1 km,19,9.2,5,251.353 TL,Bilgi Yok,Her Şey Dahil
Smyrna Aparts,"Andifli, Kaş, Antalya -",Bilinmiyor,14,9.8,3,238.212 TL,Bilgi Yok,Kahvaltı Dahil
Kaya Palazzo Golf Resort Belek,"Belek, Serik, Antalya -",Bilinmiyor,428,9.4,5,236.676 TL,Bilgi Yok,Her Şey Dahil
Sherwood Exclusive Kemer,"Göynük, Kemer, Antalya -",Bilinmiyor,45,8.2,5,234.272 TL,Bilgi Yok,Her Şey Dahil
Concorde De Luxe Resort,"kundu, Antalya -",Merkeze 1.3 km,111,9.7,5,229.533 TL,Bilgi Yok,Ultra Her Şey Dahil
Nar,"Kemer, Antalya -",Bilinmiyor,14,8.6,3,229.351 TL,Bilgi Yok,Kahvaltı Dahil
Delphin Diva,"Kemerağzı, Aksu, Antalya -",Merkeze 0.7 km,7,9.4,5,226.240 TL,Bilgi Yok,Her Şey Dahil
Selectum Luxury Resort Belek,"Kadriye, Serik, Antalya -",Bilinmiyor,225,9.4,5,209.038 TL,Bilgi Yok,Her Şey Dahil
Liberty Lara,"kundu, Antalya -",Merkeze 2.2 km,32,9.6,5,206.418 TL,Bilgi Yok,Her Şey Dahil
Sentido Kamelya Selin Hotel,"Manavgat, Antalya -",Bilinmiyor,98,9.2,5,205.072 TL,Bilgi Yok,Her Şey Dahil
Balmy Beach Resort Kemer,"Beldibi, Kemer, Antalya -",Bilinmiyor,8,8.0,4,200.994 TL,Bilgi Yok,Her Şey Dahil
Regnum Carya,"Kadriye, Serik, Antalya -",Bilinmiyor,108,8.7,5,199.680 TL,Bilgi Yok,Ultra Her Şey Dahil
Arkk Homes,"Kaleiçi, Muratpaşa, Antalya -",Merkeze 2.4 km,11,9.4,3,195.929 TL,Bilgi Yok,Bilgi Yok
Ethno Belek,"Belek, Serik, Antalya -",Bilinmiyor,17,6.9,5,195.563 TL,Bilgi Yok,Her Şey Dahil
Kuytu Kaş Houses,"Kaş, Antalya -",Bilinmiyor,Bilinmiyor,Bilinmiyor,4,189.043 TL,Bilgi Yok,Bilgi Yok
Greenwood Suites Resort,"kundu, Antalya -",Merkeze 2.1 km,37,8.4,5,188.379 TL,Bilgi Yok,Her Şey Dahil
Club Big Blue Suite Hotel,"Cumhuriyet, Alanya, Antalya -",Bilinmiyor,9,9.2,4,188.226 TL,Bilgi Yok,Her Şey Dahil
Titanic Mardan Palace,"Lara-Kundu, Muratpaşa, Antalya -",Merkeze 4.9 km,429,9.7,5,187.942 TL,Bilgi Yok,Her Şey Dahil
